image,prediction,confidence
Béc-giê Bỉ Groenendael.png,groenendael,0.9918529391288757
Chó Sheltie.png,shetland_sheepdog,0.7902179956436157
Chó Springer Anh.png,english_springer,0.9431002736091614
Chó Cocker.png,cocker_spaniel,0.9499415755271912
Chó Corgi Cardigan.png,cardigan,0.9862682819366455
Chó Beagle.png,english_foxhound,0.47254955768585205
Chó Bichon Frise.png,toy_poodle,0.46323367953300476
Chó Poodle Standard.png,standard_poodle,0.852755606174469
Chow Chow.png,chow,0.9916548728942871
Chó Komondor.png,komondor,0.9923141598701477
Chó Yorkshire Terrier.png,yorkshire_terrier,0.8134470582008362
Chó Labrador.png,labrador_retriever,0.9660986065864563
Chihuahua.png,chihuahua,0.9968054294586182
Chó Shih Tzu.png,lhasa,0.7194018363952637
Chó Golden.png,golden_retriever,0.9962771534919739
Bắc Kinh.png,pekinese,0.9966666102409363
Phốc hươu.png,miniature_pinscher,0.9796368479728699
Pug.png,pug,0.9847450852394104
Chó Papillon.png,papillon,0.9948002099990845
Chó H'Mông cộc đuôi.png,kelpie,0.9753487706184387
Chó Lakeland Terrier.png,airedale,0.5601688623428345
Chó Irish Wolfhound.png,irish_wolfhound,0.8650057911872864
Treeing Walker Coonhound.jpg,english_foxhound,0.7227292656898499
Chó Toy Terrier.jpg,toy_terrier,0.7026857733726501
Foxhound Anh.jpg,english_foxhound,0.9744622707366943
Chó Bắc Hà.jpg,tibetan_mastiff,0.8449146747589111
Cho Phu Quoc (1).png,basenji,0.9535354375839233
Cho Phu Quoc (2).png,basenji,0.8291943669319153
Terrier Úc.png,australian_terrier,0.9875569343566895
Greyhound Ý.png,italian_greyhound,0.9736655950546265
Chó Schnauzer Mini.png,miniature_schnauzer,0.5912085771560669
Chó Schnauzer Giant (2).png,giant_schnauzer,0.8968839645385742
Chó Husky Siberia.png,eskimo_dog,0.6908493041992188
Chó Norfolk Terrier.png,norfolk_terrier,0.7105198502540588
Chó Redbone Coonhound.png,redbone,0.8305604457855225
Chó Vizsla.png,vizsla,0.9201465249061584
Chó Lhasa.png,lhasa,0.7221114039421082
Chó Sealyham Terrier.png,sealyham_terrier,0.9601883888244629
Chó Staffordshire Bull Terrier.png,staffordshire_bullterrier,0.9447336792945862
Bulldog Pháp.png,french_bulldog,0.9818259477615356
Chó Yorkshire Terrier (2).png,yorkshire_terrier,0.69989013671875
Chó Elkhound Na Uy.png,norwegian_elkhound,0.9826601147651672
Chó Schipperke.png,schipperke,0.9852397441864014
Chó Silky Terrier.png,australian_terrier,0.6562383770942688
Spitz Nhật.jpg,samoyed,0.879815399646759
Chó Corgi Pembroke.png,pembroke,0.9159539937973022
Spitz Nhật.png,pomeranian,0.778458297252655
Chó Poodle Toy.png,miniature_poodle,0.9403436183929443
Chó Schnauzer Standard.jpg,standard_schnauzer,0.9739627838134766
Bulldog Pháp.jpg,french_bulldog,0.4864630103111267
Golden Retriever.jpg,golden_retriever,0.9929165840148926
Labrador Retrieve.jpg,labrador_retriever,0.9977157115936279
Béc-giê Đức.jpg,german_shepherd,0.989152193069458
Border Collie.jpg,border_collie,0.5953890085220337
Komondor.jpg,komondor,0.987409234046936
Keeshond.jpg,keeshond,0.9887585639953613
Leonberger.jpg,leonberg,0.992759108543396
Shiba Inu.jpg,chow,0.717362642288208
Phốc sóc.jpg,pomeranian,0.991332471370697
Chó mào Trung Quốc.jpg,mexican_hairless,0.9580569863319397
Irish Water Spaniel.png,irish_water_spaniel,0.9777586460113525
Bedlington Terrier.png,bedlington_terrier,0.9823347330093384
Kuvasz.jpg,kuvasz,0.979500949382782
