image,prediction,confidence
Chó Norfolk Terrier.png,norfolk_terrier,0.7105198502540588
Chó Newfoundland.png,newfoundland,0.9973078966140747
Chó mào Trung Quốc.png,mexican_hairless,0.9792085289955139
Chó Mexican Hairless.png,mexican_hairless,0.994877278804779
Chó Maltese.png,maltese_dog,0.9140561819076538
Chó Poodle Toy.png,miniature_poodle,0.7161076664924622
Chó Poodle Standard.png,standard_poodle,0.852755606174469
Chó Poodle Mini.png,standard_poodle,0.7876326441764832
Chó Papillon.png,papillon,0.9948002099990845
Chó Otterhound.png,otterhound,0.9916327595710754
Chó Saluki.png,saluki,0.991635799407959
Chó Samoyed.png,samoyed,0.9772744178771973
Chó Saint Bernard.png,saint_bernard,0.9792182445526123
Chó Rottweiler.png,rottweiler,0.4666009545326233
Chó Ridgeback Rhodesia.png,rhodesian_ridgeback,0.9709789752960205
Chó Redbone Coonhound.png,redbone,0.8305604457855225
Chó Schnauzer Mini.png,miniature_schnauzer,0.5912085771560669
Chó Schnauzer Giant.png,giant_schnauzer,0.9898681640625
Chó Schnauzer Giant (2).png,giant_schnauzer,0.8968839645385742
Chó Schipperke.png,schipperke,0.9852397441864014
Chó Sussex Spaniel.png,sussex_spaniel,0.9921452403068542
Chó Staffordshire Bull Terrier.png,staffordshire_bullterrier,0.9447336792945862
Chó Springer Anh.png,english_springer,0.9431002736091614
Chó Silky Terrier.png,australian_terrier,0.6562383770942688
Chó Shih Tzu.png,lhasa,0.7194018363952637
Chó Sheltie.png,shetland_sheepdog,0.7902179956436157
Chó Shiba.png,dingo,0.9203872084617615
Chó Setter Anh.png,english_setter,0.9892153143882751
Chó Sealyham Terrier.png,sealyham_terrier,0.9601883888244629
Chó Scottie.png,scotch_terrier,0.9908517003059387
Chó Schnauzer Standard.png,miniature_schnauzer,0.713012158870697
Ngao Đức.png,great_dane,0.9962892532348633
Ngao Tây Tạng.png,tibetan_mastiff,0.9960795044898987
Greyhound Ý.png,italian_greyhound,0.9736655950546265
Chó Yorkshire Terrier.png,yorkshire_terrier,0.8134470582008362
Chó Yorkshire Terrier (2).png,yorkshire_terrier,0.69989013671875
Chó Wire Fox Terrier.png,wire,0.968639612197876
Chó Whippet.png,whippet,0.9846513271331787
Chó Wheaten Terrier.png,soft,0.8891791105270386
Chó Westie.png,west_highland_white_terrier,0.9093418717384338
Chó Weimaraner.png,weimaraner,0.9921211004257202
Chó Vizsla.png,vizsla,0.9201465249061584
Shepherd Úc.png,collie,0.6020928621292114
Pug.png,pug,0.9847450852394104
Pointer Đức.png,german_short,0.9913801550865173
Phốc sóc.png,pomeranian,0.876504123210907
Phốc hươu.png,miniature_pinscher,0.9796368479728699
Terrier Tây Tạng.png,tibetan_terrier,0.9575762152671814
Terrier Úc.png,australian_terrier,0.9875569343566895
Springer xứ Wales.png,welsh_springer_spaniel,0.9845824241638184
Spitz Nhật.png,samoyed,0.8844868540763855
